19968,one,291487,"To learn this one kanji, I this story Bambi is in a cave, eating a sidedish of salad when trying to learn the kanjis. As he succeed to learn the kanji for one, you get jealous and decide to shoot him with a slingshot. At this moment you hear the police coming, so you hurriedly burn all the proofs into a fire so you remove the keywords Bambi, slingshot and fire from recommend. So that when the police arrives, the only remaining clue is a single horizontal bar.",88,-0.8808906674385071,88
19968,one,349535,"This one is too difficult to remember. If the other Kanji are this difficult, I'm giving up.",83,-0.923237681388855,17
19969,street,266235,"Today, the program Sesame Street is brought to you by the letter T",155,0.9832078218460083,13
19969,street,455747,two streets make a Tintersection,68,0.5959652066230774,5
19969,street,248839,Any street with nails on it had best be avoided.,19,-0.8606891632080078,10
19971,seven,1903,"This kanji is our good old seven, turned upside down.",205,-0.99883633852005,10
19971,seven,587483,I wrote it upside down so I crossed it out.,55,-0.9357806444168091,10
19975,ten thousand,284680,I bound ten thousand dollars together and hid it under the floor.,232,-0.9858242273330688,12
19975,ten thousand,1057029,IT'S OVER !!!!!!,67,-0.9219356775283813,3
19975,ten thousand,588597,It looks like a T and an H put together.,53,0.9560076594352722,10
19976,length,239360,Both a meter and a yard are about one armlength.,174,0.7433348894119263,10
19976,length,366358,"This kanji reminds me of the kanji for big I think it looks the same kinda of except for the last stroke. Maybe this works for guys, but when you were growing up you would compare length with your friends trying to show how BIG you were. You wouldn't show it but you would spread your arms out as wide as possible to exaggerate your length. Maybe even so wide that you trip I the rd stroke getting pushed over! I just find it easier to relate this to the previous kanji.",50,0.9070624709129333,92
19976,length,740765,"When girls ask about my length, I hold out my one arm, and tell them you get the idea",50,0.9919918179512024,19
19977,three,192923,one + two = three.,54,0.8584957122802734,5
19977,three,734772,"THREE measurements define the female shape BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest.",39,0.844775915145874,25
19977,three,959988,A threesome a Roman girl getting sandwitched by two blokes yelling me too!,12,-0.9971502423286438,13
19978,above,180435,A magic wand standing on above the floor.,51,0.9965776801109314,8
19978,above,982422,The divining rod is above the floor.,17,0.9418542385101318,7
19978,above,368914,Water Faucet is ABOVE the Ground,10,0.9969214797019958,6
19979,below,179707,Roots are below the ground.,66,-0.8995842933654785,5
19979,below,180436,A magic wand hanging below the ceiling.,42,0.9979597330093384,7
19979,below,1895719,Peeing off a cliff Watch out BELOW!,6,0.8086144924163818,7
19981,negative,249232,"Smithsonian Scene Mr. T hanging from the ceiling being tortured. He is asked if he is going to talk. Spitting a drop of saliva in the torturer`s face, he says Negative.",166,-0.9967222809791565,31
19981,negative,214632,One below zero is a negative number.,38,-0.9945881366729736,7
19981,negative,22900,If just ONE PERSON has a DROP of NEGATIVITY it can make everyone NEGATIVE,25,-0.9987382292747498,14
19982,bestow,34539,"David went to battle with a slingshot and it only took him one shot to slay Goliath. Partly because of this, the prophet Nathan was later instructed to bestow upon David the throne of all Israel.",211,0.8565443158149719,36
19982,bestow,508709,"In The Legend of Zelda Ocarina of Time, one of the first weapons bestowed on Link was the slingshot.",133,0.988990068435669,19
19982,bestow,782193,high ! And bestow me one low!,34,0.9981067180633545,7
19985,sign of the cow,21609,"Pictograph of a stanchion, which includes two vertical posts to restrain cows so they can be milked, with a horizontal stroke showing the number of cows per stanchion one. A stanchion is a great symbol for the SIGN OF THE COW, since modern, domesticated cows are often stanchioned in barns.",108,0.9901583790779114,50
19985,sign of the cow,445515,cows behind a fence.,94,0.992499053478241,4
19985,sign of the cow,145773,There's no sign of the cow. She saw those daggers two of them and ran off.,63,-0.8482714295387268,16
19988,moreover,316852,"Moreover is a literary term to shelve what you had just been talking about, to come back to it later.",127,0.9944682121276855,20
19988,moreover,343353,"Shelves are useful for storing things, and moreover they are responsible for splattering the brains of monarchs on tatami mats.",49,0.9880656003952026,20
19990,generation,182747,"They SAY a generation is ten+ten+ten years, with the big first ten providing a grounding, and the next ten providing a little more grounding for the final ten. But I wish the next generation didn't always SAY yo!. ON reading is SEI, KUN reading is yo",58,-0.506436824798584,46
19990,generation,179737,The next generation is carried by the previous ones.,39,0.8371752500534058,9
19992,hill,412360,Excalibur is the sword planted in a rock. Lesser known AXCAHILLBUR is the axe planted on top of a hill.,232,0.8797387480735779,20
19992,hill,76689,At Capitol Hill proposals get axed on the floor,62,-0.9989035129547119,9
19993,third class,240234,"In this third class flight, the seatbelts are so bad that with the slightest turbulence all the persons hit the ceiling. it's almost pictographic here!",331,-0.9989086389541626,25
19993,third class,100922,But third class is so small Mr. T's head hits the celing.,21,-0.9463678002357483,12
19993,third class,402292,Travelling by ship third class the cabins are all inside no windows and the ceilings are so low you hit your head.,21,-0.992270827293396,22
20001,both,53601,"Primatives celing belt mountain as per Cumulative Errata. See volfy post for link. Both effective ways to commit suicide, hang your self from the celing with your belt or jump off a mountain",244,0.9969459176063538,33
20001,both,127890,"Be careful with this one. The correct primitive order is ceiling . . . belt . . . mountain. That said, in the Mario video games, there are some levels where spikes hang from the ceiling and there are large conveyor belts. One example is Koopa Mountain. Imagine both Mario and Luigi trying to get through the level unscathed.",35,0.9842588901519775,59
20001,both,413747,Under one ceiling both took off their belts in Brokeback Mountain,28,-0.9844436645507812,11
20006,row,167620,"This is a simplification of , a ideogram of two people standing in a row.",260,-0.9987056255340576,15
20006,row,775914,Roman numeral II with rows of animal horns.,30,0.8539104461669922,8
20013,in,213133,Pocky goes in the mouth,123,-0.9986520409584045,5
20013,in,617232,My GF lets me come in her mouth pictogram.,104,-0.8676553964614868,9
20013,in,1645818,It's my dick in a box!,26,0.5195134282112122,6
20018,shish kebab,456590,"naka naka , who's there? shish kebab .... shish kebab who?",95,0.5994443893432617,11
