40802,age,541335,"You can generally tell how old *Karate Kid* is, down to the month - each month he enters another competition, and each month he loses (and gets another *tooth* knocked out). All you have to do is ask him to open his mouth and show you his *teeth*, and you'll know his age.",0
40802,age,35958,The *age* when kids get #teeth# is when they  get #orders# from their parents.,0
40802,age,1839830,"*Teeth* are an indicator of age: 1) None = baby, 2) milk teeth = child, 3) 2nd teeth = adult, 4) False = old. 1~3 are on *orders* from God, 4 is on *orders* from your dentist.",15
40802,age,128365,"""Pull all their *teeth* to count their age!"" *orders* the insane Nazi general.",25
40802,age,42867,You know you are fast approaching a ripe old AGE when you get ORDERS from the dentist to get new TEETH.,231
40763,nose,2523961,Un embaumeur égyptien enfonce ses deux mains dans le nez du défunt et en ressort une poignée de cervelle.,0
40763,nose,1837201,"[ #nose# = *nostrils* / *brain* / *two hands* ] - tweak your #nose# and you may sneeze, your *nostrils* inflate, and your *brain* plop into your *two hands*",0
40763,nose,23603,"Remember when you had the flu, and you were sneezing all the time? I bet you thought that you could end up holding your *brain* in *both hands* after it was spitted from your running *nose*!",36
40763,nose,709654,I sneezed so hard that through my NOSE I blew out my BRAINS into BOTH HANDS.,92
40763,nose,97041,An Egyptian embalmer reaching *both hands* into the dead pharaoh's #nose# and yanking out handfuls of *brain*.,186
40723,drum,2940947,The samurai uses the elliptical food stand of pot of beans as a drum and a branch to play it.,0
40723,drum,2319774,"Another version of Jack and the Beanstalk:  Jack trades the cow for some magical drumsticks (drum branches).  When he plays the drum, Samurai starting popping out of beans to do his bidding.  (I like this because Samurai replaces what would be the top line of bean, so the Samurai are popping out of the beans).",0
40723,drum,989856,*Mr. Bean* tries to play drums with *10* different *branches* he found on the ground.,21
40723,drum,381831,"I really hate the primitive meaning of ""table"" for ""bean."" I just use ""bean."" Anyways, for the DRUM primitive, imagine a SAMURAI who beats on a DRUM with two chopsticks, and a BEAN skewered on each end of the chopstick to produce a better sound. And the obvious story is: ""DRUMing on a DRUM with a huge BRANCH""",36
40723,drum,128430,"Japanese festivals have #drums# so big, a *samurai* has to SIT (not stand) on a *table* to beat one with a tree *branch*!

http://www.d2.dion.ne.jp/~hidafyh/furukawayh/gyouji/image/maturi03.jpg",148
40665,silence,1936259,"In our inequal society, racial prejudices still haven't been been solved.  Even now, the black dog is often discriminated against, and that's why he must remain silent.",0
40665,silence,629809,"Dumbledore yells ""#Silence#!"" in the Great Hall but when that doesn't work he gives the whole school dentention: they have to walk a *dog* for a *ri* through a burning *fire*.",0
40665,silence,141838,"A scene of calm SILENC: You're typing away on your COMPUTER, while your pet DOG lies beside, a nice FIRE warms you both. No noise to disturb the SILENCE.",39
40665,silence,21327,"Your neighbor is so sick of you playing Led Zeppelin that he takes your copy of the song Black Dog and burns it.  Finally, silence in the neighborhood.",50
40665,silence,74843,"The *computer* won't stop beeping, which is making the *chihauhua* bark, and it's driving this guy insane. The only solution he can come up with is to throw them both on the *fire* and finally enjoy the silence.",324
40658,black,1270539,"Wenn der PC zu brennen beginnt, wird er SCHWARZ.",0
40658,black,1002174,"My computer blew up, so the screen is black. =(",0
40658,black,136844,Computer-shomputer... this is a さと（里）being ravaged by fire... down into charred and burnt blackened remains!,12
40658,black,459036,"If your *parent's home* catches on *fire*, it will turn black.",30
