40802,age,1839830,"Teeth are an indicator of age None = baby, milk teeth = child, nd teeth = adult, False = old. ~ are on orders from God, is on orders from your dentist.",15
40802,age,128365,Pull all their teeth to count their age! orders the insane Nazi general.,25
40802,age,42867,You know you are fast approaching a ripe old AGE when you get ORDERS from the dentist to get new TEETH.,231
40763,nose,23603,"Remember when you had the flu, and you were sneezing all the time? I bet you thought that you could end up holding your brain in both hands after it was spitted from your running nose!",36
40763,nose,709654,I sneezed so hard that through my NOSE I blew out my BRAINS into BOTH HANDS.,92
40763,nose,97041,An Egyptian embalmer reaching both hands into the dead pharaoh's nose and yanking out handfuls of brain.,186
40723,drum,989856,Mr. Bean tries to play drums with different branches he found on the ground.,21
40723,drum,381831,"I really hate the primitive meaning of table for bean. I just use bean. Anyways, for the DRUM primitive, imagine a SAMURAI who beats on a DRUM with two chopsticks, and a BEAN skewered on each end of the chopstick to produce a better sound. And the obvious story is DRUMing on a DRUM with a huge BRANCH",36
40723,drum,128430,"Japanese festivals have drums so big, a samurai has to SIT not stand on a table to beat one with a tree branch!",148
40665,silence,141838,"A scene of calm SILENC You're typing away on your COMPUTER, while your pet DOG lies beside, a nice FIRE warms you both. No noise to disturb the SILENCE.",39
40665,silence,21327,"Your neighbor is so sick of you playing Led Zeppelin that he takes your copy of the song Black Dog and burns it. Finally, silence in the neighborhood.",50
40665,silence,74843,"The computer won't stop beeping, which is making the chihauhua bark, and it's driving this guy insane. The only solution he can come up with is to throw them both on the fire and finally enjoy the silence.",324
40658,black,136844,Computershomputer... this is a being ravaged by fire... down into charred and burnt blackened remains!,12
40658,black,459036,"If your parent's home catches on fire, it will turn black.",30
40658,black,200840,"If you burn the GROUND of a RICE FIELD with FIRE, eventually it will turn black.",88
40644,yellow,979535,My face turned yellow when I watched my salad sprout animal legs and start scurrying across the table. Check please!,33
40644,yellow,181205,I order a salad with sprouts. I'm asked if I'd like to add chicken. Yes please. My salad then arrives . . . . topped with these horribly gnarled yellow things. Chicken feet! animal legs ugh,42
40644,yellow,31375,The salad did not look very appetizing... The sprouts were yellow and there were animal legs sticking out of it.,263
40635,hemp,248065,The world's most prolific drug dealer maintains a massive grove of hemp in a cave to avoid law enforcement.,37
40635,hemp,386674,"Where is the best place to hid your grove of hemp trees? In a cave, you dope!",94
40635,hemp,96439,"Image while Batman is out, Robin is smokin' a huge doob in a secret corner of the Batcave where he nurtures his hemp grove.",120
40634,noodles,586306,Don't be fooled! That's just barley masquerading as noodles.,18
40634,noodles,2015931,I always eat barley noodles with a mask on it stops them splashing in your face.,26
40634,noodles,914708,There is a certain restaurant in WestShinjuku that serves its noodles made of BARLEY in a MASK instead of a plate. I love these themerestaurants!,42
40614,barley,100380,"Grown up barley, i.e. beer, is what gets you tottering legs.",30
40614,barley,158093,"Barley is a very cheap grain, and it's not really worth spending time to harvest. Therefore, scientists have genetically engineered it to grow walking legs once the grain is grown up and mature, so it can harvest itself.",70
40614,barley,53124,"If you eat lots of barley, you'll grow up to have strong walking legs.",202
40599,lovely,315928,"The deer painting is so lovely, when compared to the two mediocre paintings on two sections of ceiling above.",45
40599,lovely,407636,Lovely bambi.... pictographe just take a look at those innocent open eyes part it's not more far fetched than seeing mediocre in it with thin eyebrows what a lovely deer ...part,97
40599,lovely,133757,"The anthropologist made an exact deer painting from the cave ceiling on the ceiling of his house. Too bad they're both mediocre. All his wife could say was, How...lovely.",135
40595,foot of a mountain,679094,The cave with the deer painting was found at the foot of a mountain hidden behind a grove. That's why it took centuries to discover.,5
40595,foot of a mountain,710340,"Deer are well known for frolicking in groves of trees. However, they are not well known for actually watching where the heck they are bounding about. Here we have a bunch of dead deer bodies that you find at the foot of a mountain. You are trying to figure why there are so many dead deer in one spot, and then you trace a line up the mountain leaves and such are scattered all the way up...to a grove. Looks like they hopped through some leaves to their doom.",14
40595,foot of a mountain,119194,many deer can be found in the grove at the foot of a mountain,49
40575,deer,60697,"Santa's reindeer, Rudolf, opens a nightclub in a cave. It's popular with all the deer and reindeer in the world. The cave speciality is a salad w dressing on the side. There is no other deer club that can compare. How many other deer nightclubs are there?",29
40575,deer,149359,Bambi wanders into a cave and sees a side order of salad and spoons...but what's the main course?,267
40372,crane,270098,"Do you know how cranes came to be? Well, they used to keep the poor bird cooped all the time. But the crane really wanted to be free, so it would always streatch its head and neck out of the coop trying to be free.",46
40372,crane,809073,"I ordered a crane to move my turkey coop, but they sent me this damn bird instead",52
40372,crane,65430,The original version of the Ugly Duckling was about a crane who grew up in a turkey coop. All the other birds made fun of it for not having a wattle or a snood or fanning its tail...,179
40335,chicken,254216,"Ever since that eagle attacked my husband from above, he acts like a chicken whenever he sees a bird, fearing that it might be the eagle who has come back to finish the job.",62
40335,chicken,210849,the vulture's husband is a chicken...heck...who am I to judge their interspecies love? They're both birds so its cool.,183
40180,chirp,2101723,Just left to go!,42
40180,chirp,471260,"This kanji is not limited to the chirp of a bird, but stands for the sound of any kind of animal. Picture a very weird bird that can imitate with its mouth a bird with mouth, heh the voice of many different animals Meeow! Woof! Mooo! Cuack!!! Maybe the bird has Kirby powers and obtains the abilities of the animals it eats",79
40169,pigeon,431796,Pigeons are birds that say ku or . And can be read as,25
40169,pigeon,76192,Imagine some pigeons going to see a baseball game. They would surely be the only birds there!,46
40169,pigeon,428905,Pigeons are the birds that come in hordes after baseball games to eat all the trash left by fans.,65
40165,bird,645021,The BIRD let loose a WHITE ONE from it's TAIL FEATHERS...right on my new car!,78
40165,bird,190504,There is only one bird with such beautiful white tail feathers the albino peakcock.,154
39912,whale,1000163,"When you're saying a whale is just a fish, you're making a capital mistake!",19
39912,whale,280829,When the whale was first discovered it was the biggest fish people had ever seen. Stories exaggerated its size people said it was as big as the entire capital city!,25
39912,whale,148826,"If fish were cities, the whale would surely be the capital.",208
